id,name,variety,u,v,anchor
4,Ichor,Off,66,242,Bottom
4,Ichor,Off,88,242,Left
4,Ichor,Off,110,242,Right
4,Ultrabright,On,,264,Bottom
4,Ultrabright,On,22,264,Left
4,Ultrabright,On,44,264,Right
4,Ultrabright,Off,66,264,Bottom
4,Ultrabright,Off,88,264,Left
4,Ultrabright,Off,110,264,Right
4,Bone,On,,286,Bottom
4,Bone,On,22,286,Left
4,Bone,On,44,286,Right
4,Bone,Off,66,286,Bottom
4,Bone,Off,88,286,Left
4,Bone,Off,110,286,Right
4,Rainbow,On,,308,Bottom
4,Rainbow,On,22,308,Left
4,Rainbow,On,44,308,Right
4,Rainbow,Off,66,308,Bottom
4,Rainbow,Off,88,308,Left
4,Rainbow,Off,110,308,Right
4,Pink,On,,330,Bottom
4,Pink,On,22,330,Left
4,Pink,On,44,330,Right
4,Pink,Off,66,330,Bottom
4,Pink,Off,88,330,Left
4,Pink,Off,110,330,Right
5,Tree Top Leafy,A,22,198,Bottom
5,Tree Top Leafy,B,22,220,Bottom
5,Tree Top Leafy,C,22,242,Bottom
5,Tree Trunk,Plain A,,,Bottom
5,Tree Trunk,Right Indent A,22,,Bottom
5,Tree Trunk,Right Slight Bulge A,44,,Bottom
5,Tree Branch,Plain A,66,,Left
5,Tree Trunk,Left Slight Bulge A,88,,Bottom
5,Tree Top,Medium A,110,,Bottom
5,Tree Top,Small A,132,,Bottom
5,Tree Top,Large A,154,,Right
5,Tree Trunk,Plain B,,22,Bottom
5,Tree Trunk,Right Indent B,22,22,Bottom
5,Tree Trunk,Right Slight Bulge B,44,22,Bottom
5,Tree Branch,Plain B,66,22,Left
5,Tree Trunk,Left Slight Bulge B,88,22,Bottom
5,Tree Top,Medium B,110,22,Bottom
5,Tree Top,Small B,132,22,Bottom
5,Tree Top,Large B,154,22,Right
5,Tree Trunk,Plain C,,44,Bottom
5,Tree Trunk,Right Indent C,22,44,Bottom
5,Tree Trunk,Right Slight Bulge C,44,44,Bottom
5,Tree Branch,Plain C,66,44,Left
5,Tree Trunk,Left Slight Bulge C,88,44,Bottom
5,Tree Top,Medium C,110,44,Bottom
5,Tree Top,Small C,132,44,Bottom
5,Tree Top,Large C,154,44,Right
5,Tree Trunk,Left Indent A,,66,Bottom
5,Tree Trunk,Right Bulge A,22,66,Bottom
5,Tree Trunk,Left Bulge A,44,66,Bottom
5,Tree Trunk,Right Slight Bulge D,66,66,Bottom
5,Tree Branch,Plain A,88,66,Right
5,Tree Trunk,Double Slight Bulge A,110,66,Bottom
5,Tree Top,Small Right Slight Bulge A,132,66,Bottom
5,Tree Top,Large A,154,66,Left
5,Tree Trunk,Left Indent B,,88,Bottom
5,Tree Trunk,Right Bulge B,22,88,Bottom
5,Tree Trunk,Left Bulge B,44,88,Bottom
5,Tree Trunk,Right Slight Bulge E,66,88,Bottom
5,Tree Branch,Plain B,88,88,Right
5,Tree Trunk,Double Slight Bulge B,110,88,Bottom
5,Tree Top,Small Right Slight Bulge B,132,88,Bottom
5,Tree Top,Large B,154,88,Left
5,Tree Trunk,Left Indent C,,110,Bottom
5,Tree Trunk,Right Bulge C,22,110,Bottom
5,Tree Trunk,Left Bulge C,44,110,Bottom
5,Tree Trunk,Right Slight Bulge F,66,110,Bottom
5,Tree Branch,Plain C,88,110,Right
5,Tree Trunk,Double Slight Bulge C,110,110,Bottom
5,Tree Top,Small Right Slight Bulge C,132,110,Bottom
5,Tree Top,Large C,154,110,Left
5,Tree Trunk,Large A,,132,Left
5,Tree Base,Plain A,22,132,Right
5,Tree Base,Plain A,44,132,Left
5,Tree Trunk,Large A,66,132,Right
5,Tree Trunk,Large A,88,132,Center
5,Tree Top,Small Double Slight Bulge A,132,132,Bottom
5,Tree Top,Huge,154,132,Left
5,Tree Trunk,Large B,,154,Left
5,Tree Base,Plain B,22,154,Right
5,Tree Base,Plain B,44,154,Left
5,Tree Trunk,Large B,66,154,Right
5,Tree Trunk,Large B,88,154,Center
5,Tree Top,Small Double Slight Bulge B,132,154,Bottom
5,Tree Top,Huge,154,154,Center
5,Tree Trunk,Large C,,176,Left
5,Tree Base,Plain C,22,176,Right
5,Tree Base,Plain C,44,176,Left
5,Tree Trunk,Large C,66,176,Right
5,Tree Trunk,Large C,88,176,Center
5,Tree Top,Small Double Slight Bulge C,132,176,Bottom
5,Tree Top,Huge,154,176,Right
5,Tree Top,Jagged,,198,Right
5,Tree Trunk,Jagged,,220,Bottom
5,Tree Trunk,Jagged,,242,Left
10,,Wooden Door A,,,
10,,Wooden Door B,18,,
10,,Wooden Door C,36,,
10,,Ebonwood Door A,,54,
10,,Ebonwood Door B,18,54,
10,,Ebonwood Door C,36,54,
10,,Rich Mahogany Door A,,108,
10,,Rich Mahogany Door B,18,108,
10,,Rich Mahogany Door C,36,108,
10,,Pearlwood Door A,,162,
10,,Pearlwood Door B,18,162,
10,,Pearlwood Door C,36,162,
10,,Cactus Door A,,216,
10,,Cactus Door B,18,216,
10,,Cactus Door C,36,216,
10,,Flesh Door A,,270,
10,,Flesh Door B,18,270,
10,,Flesh Door C,36,270,
10,,Mushroom Door A,,324,
10,,Mushroom Door B,18,324,
10,,Mushroom Door C,36,324,
10,,Living Wood Door A,,378,
10,,Living Wood Door B,18,378,
10,,Living Wood Door C,36,378,
10,,Bone Door A,,432,
10,,Bone Door B,18,432,
10,,Bone Door C,36,432,
10,,Skyware Door A,,486,
10,,Skyware Door B,18,486,
10,,Skyware Door C,36,486,
10,,Shadewood Door A,,540,
10,,Shadewood Door B,18,540,
10,,Shadewood Door C,36,540,
10,,Lihzahrd Locked Door A,,594,
10,,Lihzahrd Locked Door B,18,594,
10,,Lihzahrd Locked Door C,36,594,
10,,Lihzahrd Door A,,648,
10,,Lihzahrd Door B,18,648,
10,,Lihzahrd Door C,36,648,
10,,Dungeon Door A,,702,
10,,Dungeon Door B,18,702,
10,,Dungeon Door C,36,702,
10,,Lead Door A,,756,
10,,Lead Door B,18,756,
10,,Lead Door C,36,756,
10,,Iron Door A,,810,
10,,Iron Door B,18,810,
10,,Iron Door C,36,810,
10,,Blue Dungeon Door A,,864,
10,,Blue Dungeon Door B,18,864,
10,,Blue Dungeon Door C,36,864,
10,,Green Dungeon Door A,,918,
10,,Green Dungeon Door B,18,918,
10,,Green Dungeon Door C,36,918,
10,,Pink Dungeon Door A,,972,
10,,Pink Dungeon Door B,18,972,
10,,Pink Dungeon Door C,36,972,
10,,Obsidian Door A,,1026,
10,,Obsidian Door B,18,1026,
10,,Obsidian Door C,36,1026,
10,,Glass Door A,,1080,
10,,Glass Door B,18,1080,
10,,Glass Door C,36,1080,
10,,Golden Door A,,1134,
10,,Golden Door B,18,1134,
10,,Golden Door C,36,1134,
10,,Honey Door A,,1188,
10,,Honey Door B,18,1188,
10,,Honey Door C,36,1188,
10,,Steam Punk Door A,,1242,
10,,Steam Punk Door B,18,1242,
10,,Steam Punk Door C,36,1242,
10,,Pumpkin Door A,,1296,
10,,Pumpkin Door A,18,1296,
10,,Pumpkin Door A,36,1296,
10,,Spooky Door A,,1350,
10,,Spooky Door B,18,1350,
10,,Spooky Door C,36,1350,
10,,Pine Door A,,1404,
10,,Pine Door B,18,1404,
10,,Pine Door C,36,1404,
10,,Frozen Door A,,1458,
10,,Frozen Door B,18,1458,
10,,Frozen Door C,36,1458,
10,,Dynasty Door A,,1512,
10,,Dynasty Door B,18,1512,
10,,Dynasty Door C,36,1512,
10,,Palm Wood Door A,,1566,
10,,Palm Wood Door B,18,1566,
10,,Palm Wood Door C,36,1566,
10,,Boreal Wood Door A,,1620,
10,,Boreal Wood Door B,18,1620,
10,,Boreal Wood Door C,36,1620,
10,,Slime Door A,,1674,
10,,Slime Door B,18,1674,
10,,Slime Door C,36,1674,
10,,Martian Door A,,1728,
10,,Martian Door B,18,1728,
10,,Martian Door C,36,1728,
10,,Meteorite Door A,,1782,
10,,Meteorite Door B,18,1782,
10,,Meteorite Door C,36,1782,
10,,Granite Door A,,1836,
10,,Granite Door B,18,1836,
10,,Granite Door C,36,1836,
10,,Marble Door A,,1890,
10,,Marble Door B,18,1890,
10,,Marble Door C,36,1890,
10,,Crystal Door A,54,,
10,,Crystal Door B,72,,
10,,Crystal Door C,90,,
11,,Wooden Door,,,Door Right
11,,Wooden Door,36,,Door Left
11,,Ebonwood Door,,54,Door Right
11,,Ebonwood Door,36,54,Door Left
11,,Rich Mahogany Door,,108,Door Right
11,,Rich Mahogany Door,36,108,Door Left
11,,Pearlwood Door,,162,Door Right
11,,Pearlwood Door,36,162,Door Left
11,,Cactus Door,,216,Door Right
11,,Cactus Door,36,216,Door Left
11,,Flesh Door,,270,Door Right
11,,Flesh Door,36,270,Door Left
11,,Mushroom Door,,324,Door Right
11,,Mushroom Door,36,324,Door Left
11,,Living Wood Door,,378,Door Right
11,,Living Wood Door,36,378,Door Left
11,,Bone Door,,432,Door Right
11,,Bone Door,36,432,Door Left
11,,Skyware Door,,486,Door Right
11,,Skyware Door,36,486,Door Left
11,,Shadewood Door,,540,Door Right
11,,Shadewood Door,36,540,Door Left
11,,Lihzahrd Door,,648,Door Right
11,,Lihzahrd Door,36,648,Door Left
11,,Dungeon Door,,702,Door Right
11,,Dungeon Door,36,702,Door Left
11,,Lead Door,,756,Door Right
11,,Lead Door,36,756,Door Left
11,,Iron Door,,810,Door Right
11,,Iron Door,36,810,Door Left
11,,Blue Dungeon Door,,864,Door Right
11,,Blue Dungeon Door,36,864,Door Left
11,,Green Dungeon Door,,918,Door Right
11,,Green Dungeon Door,36,918,Door Left
11,,Pink Dungeon Door,,972,Door Right
11,,Pink Dungeon Door,36,972,Door Left
11,,Obsidian Door,,1026,Door Right
11,,Obsidian Door,36,1026,Door Left
11,,Glass Door,,1080,Door Right
11,,Glass Door,36,1080,Door Left
11,,Golden Door,,1134,Door Right
11,,Golden Door,36,1134,Door Left
11,,Honey Door,,1188,Door Right
11,,Honey Door,36,1188,Door Left
11,,Steam Punk Door,,1242,Door Right
11,,Steam Punk Door,36,1242,Door Left
11,,Pumpkin Door,,1296,Door Right
11,,Pumpkin Door,36,1296,Door Left
11,,Spooky Door,,1350,Door Right
11,,Spooky Door,36,1350,Door Left
11,,Pine Door,,1404,Door Right
11,,Pine Door,36,1404,Door Left
11,,Frozen Door,,1458,Door Right
11,,Frozen Door,36,1458,Door Left
11,,Dynasty Door,,1512,Door Right
11,,Dynasty Door,36,1512,Door Left
11,,Palm Wood Door,,1566,Door Right
11,,Palm Wood Door,36,1566,Door Left
11,,Boreal Wood Door,,1620,Door Right
11,,Boreal Wood Door,36,1620,Door Left
11,,Slime Door,,1674,Door Right
11,,Slime Door,36,1674,Door Left
11,,Martian Door,,1728,Door Right
11,,Martian Door,36,1728,Door Left
11,,Meteorite Door,,1782,Door Right
11,,Meteorite Door,36,1782,Door Left
11,,Granite Door,,1836,Door Right
11,,Granite Door,36,1836,Door Left
11,,Marble Door,,1890,Door Right
11,,Marble Door,36,1890,Door Left
11,,Crystal Door,72,,Door Right
11,,Crystal Door,108,,Door Left
12,Default,Default,,,
13,Bottle,,,,
13,Healing Potion,,18,,
13,Mana Potion,,36,,
13,Pink Vase,,54,,
13,Mug,,72,,
13,Dynasty Cup,,90,,
13,Wine Glass,,108,,
13,Honey Cup,,126,,
13,Chalice,,144,,
14,Table,Wooden Table,,,Left
14,Table,Ebonwood Table,54,,Left
14,Table,Rich Mahogany Table,108,,Left
14,Table,Pearlwood Table,162,,Left
14,Table,Bone Table,216,,Left
14,Table,Flesh Table,270,,Left
14,Table,Living Wood Table,324,,Left
14,Table,Skyware Table,378,,Left
14,Table,Shadewood Table,432,,Left
14,Table,Lihzahrd Table,486,,Left
14,Table,Blue Dungeon Table,540,,Left
14,Table,Green Dungeon Table,594,,Left
14,Table,Pink Dungeon Table,648,,Left
14,Table,Obsidian Table,702,,Left
14,Table,Gothic Table,756,,Left
14,Table,Glass Table,810,,Left
14,Banquet Table,Wooden Banquet,864,,Left
14,Bar Table,Wooden Bar,918,,Left
14,Banquet Table,Golden Banquet,972,,Left
14,Table,Honey Table,1026,,Left
14,Table,Steam Punk Table,1080,,Left
14,Table,Pumpkin Table,1134,,Left
14,Table,Spooky Table,1188,,Left
14,Table,Pine Table,1242,,Left
14,Table,Frozen Table,1296,,Left
14,Table,Dynasty Table,1350,,Left
14,Table,Palm Wood Table,1404,,Left
14,Table,Mushroom Table,1458,,Left
14,Table,Boreal Wood Table,1512,,Left
14,Table,Slime Table,1566,,Left
14,Table,Cactus Table,1620,,Left
14,Table,Martian Table,1674,,Left
14,Table,Meteorite Table,1728,,Left
14,Table,Granite Table,1782,,Left
14,Table,Marble Table,1836,,Left
15,Wooden Chair,,,,Left
15,Wooden Chair,,18,,Right
15,Toilet,,,40,Left
15,Toilet,,18,40,Right
15,Ebonwood Chair,,,80,Left
15,Ebonwood Chair,,18,80,Right
15,Rich Mahogany Chair,,,120,Left
15,Rich Mahogany Chair,,18,120,Right
15,Pearlwood Chair,,,160,Left
15,Pearlwood Chair,,18,160,Right
15,Living Wood Chair,,,200,Left
15,Living Wood Chair,,18,200,Right
15,Cactus Chair,,,240,Left
15,Cactus Chair,,18,240,Right
15,Bone Chair,,,280,Left
15,Bone Chair,,18,280,Right
15,Flesh Chair,,,320,Left
15,Flesh Chair,,18,320,Right
15,Mushroom Chair,,,360,Left
15,Mushroom Chair,,18,360,Right
15,Skyware Chair,,,400,Left
15,Skyware Chair,,18,400,Right
15,Shadewood Chair,,,440,Left
15,Shadewood Chair,,18,440,Right
15,Lihzahrd Chair,,,480,Left
15,Lihzahrd Chair,,18,480,Right
15,Blue Dungeon Chair,,,520,Left
15,Blue Dungeon Chair,,18,520,Right
15,Green Dungeon Chair,,,560,Left
15,Green Dungeon Chair,,18,560,Right
15,Pink Dungeon Chair,,,600,Left
15,Pink Dungeon Chair,,18,600,Right
15,Obsidian Chair,,,640,Left
15,Obsidian Chair,,18,640,Right
15,Gothic Chair,,,680,Left
15,Gothic Chair,,18,680,Right
15,Glass Chair,,,720,Left
15,Glass Chair,,18,720,Right
15,Golden Chair,,,760,Left
15,Golden Chair,,18,760,Right
15,Golden Toilet,,,800,Left
15,Golden Toilet,,18,800,Right
15,Barstool,,,840,Left
15,Barstool,,18,840,Right
15,Honey Chair,,,880,Left
15,Honey Chair,,18,880,Right
15,Steam Punk Chair,,,920,Left
15,Steam Punk Chair,,18,920,Right
15,Pumpkin Chair,,,960,Left
15,Pumpkin Chair,,18,960,Right
15,Spooky Chair,,,1000,Left
15,Spooky Chair,,18,1000,Right
15,Pine Chair,,,1040,Left
15,Pine Chair,,18,1040,Right
15,Dynasty Chair,,,1080,Left
15,Dynasty Chair,,18,1080,Right
15,Frozen Chair,,,1120,Left
15,Frozen Chair,,18,1120,Right
15,Palm Wood Chair,,,1160,Left
15,Palm Wood Chair,,18,1160,Right
15,Boreal Wood Chair,,,1200,Left
15,Boreal Wood Chair,,18,1200,Right
15,Slime Chair,,,1240,Left
15,Slime Chair,,18,1240,Right
15,Martian Hover Chair,,,1280,Left
15,Martian Hover Chair,,18,1280,Right
15,Meteorite Chair,,,1320,Left
15,Meteorite Chair,,18,1320,Right
15,Granite Chair,,,1360,Left
15,Granite Chair,,18,1360,Right
15,Marble Chair,,,1400,Left
15,Marble Chair,,18,1400,Right
15,Crystal Chair,,,1440,Left
15,Crystal Chair,,18,1440,Right
16,Iron Anvil,,,,
16,Lead Anvil,,36,,
18,Work Bench,Wood,,,
18,Work Bench,Ebonwood,36,,
18,Work Bench,Rich Mahogany,72,,
18,Work Bench,Pearlwood,108,,
18,Work Bench,Bone,144,,
18,Work Bench,Cactus,180,,
18,Work Bench,Flesh,216,,
18,Work Bench,Mushroom,252,,
18,Work Bench,Slime,288,,
18,Work Bench,Shadewood,324,,
18,Work Bench,Lihzahrd,360,,
18,Work Bench,Blue Dungeon,396,,
18,Work Bench,Green Dungeon,432,,
18,Work Bench,Pink Dungeon,468,,
18,Work Bench,Obsidian,504,,
18,Work Bench,Gothic,540,,
18,Work Bench,Pumpkin,576,,
18,Work Bench,Spooky,612,,
18,Work Bench,Dynasty,648,,
18,Work Bench,Honey,684,,
18,Work Bench,Frozen,720,,
18,Work Bench,Steampunk,756,,
18,Work Bench,Palm Wood,792,,
18,Work Bench,Boreal,828,,
18,Work Bench,Skyware,864,,
18,Work Bench,Glass,900,,
18,Work Bench,Living Wood,936,,
18,Work Bench,Martian,972,,
18,Work Bench,Meteorite,1008,,
18,Work Bench,Granite,1044,,
18,Work Bench,Marble,1080,,
18,,Crystal,1116,,
18,,Golden,1152,,
19,Platform,Wood Flat,,,
19,Platform,Wood Endcap Right,18,,
19,Platform,Wood Endcap Left,36,,
19,Platform,Wood Attach Left,54,,
19,Platform,Wood Attach Right,72,,
19,Platform,Wood Single,90,,
19,Platform,Wood Attach Left Endcap,108,,
19,Platform,Wood Attach Right Endcap,126,,
19,Stair,Wood Up-Right Riser,144,,
19,Stair,Wood Up-Right Stringer,162,,
19,Stair,Wood Up-Left Riser,180,,
19,Stair,Wood Up-Left Stringer,198,,
19,Stair,Wood Top Landing R,216,,
19,Stair,Wood Top Landing L,234,,
19,Stair,Wood Top Landing L-R,252,,
19,Stair,Wood Top Landing R Endcap,270,,
19,Stair,Wood Top Landing L Endcap,288,,
19,Stair,Wood Bottom Landing R,306,,
19,Stair,Wood Bottom Landing L,324,,
19,Stair,Wood Inset Up-Right 1,342,,
19,Stair,Wood Inset Up-Left 1,360,,
19,Stair,Wood Inset Up-Right 2,378,,
19,Stair,Wood Inset Up-Left 2,396,,
19,Stair,Wood Inset Up-Right 3,414,,
19,Stair,Wood Inset Up-Left 3,432,,
19,Stair,Wood Inverted Right,450,,
19,Stair,Wood Inverted Left,468,,
19,Platform,Ebonwood Flat,,18,
19,Platform,Ebonwood Endcap Right,18,18,
19,Platform,Ebonwood Endcap Left,36,18,
19,Platform,Ebonwood Attach Left,54,18,
19,Platform,Ebonwood Attach Right,72,18,
19,Platform,Ebonwood Single,90,18,
19,Platform,Ebonwood Attach Left Endcap,108,18,
19,Platform,Ebonwood Attach Right Endcap,126,18,
19,Stair,Ebonwood Up-Right Riser,144,18,
19,Stair,Ebonwood Up-Right Stringer,162,18,
19,Stair,Ebonwood Up-Left Riser,180,18,
19,Stair,Ebonwood Up-Left Stringer,198,18,
19,Stair,Ebonwood Top Landing R,216,18,
19,Stair,Ebonwood Top Landing L,234,18,
19,Stair,Ebonwood Top Landing L-R,252,18,
19,Stair,Ebonwood Top Landing R Endcap,270,18,
19,Stair,Ebonwood Top Landing L Endcap,288,18,
19,Stair,Ebonwood Bottom Landing R,306,18,
19,Stair,Ebonwood Bottom Landing L,324,18,
19,Stair,Ebonwood Inset Up-Right 1,342,18,
19,Stair,Ebonwood Inset Up-Left 1,360,18,
19,Stair,Ebonwood Inset Up-Right 2,378,18,
19,Stair,Ebonwood Inset Up-Left 2,396,18,
19,Stair,Ebonwood Inset Up-Right 3,414,18,
19,Stair,Ebonwood Inset Up-Left 3,432,18,
19,Stair,Ebonwood Inverted Right,450,18,
19,Stair,Ebonwood Inverted Left,468,18,
19,Platform,Rich Mahogany Flat,,36,
19,Platform,Rich Mahogany Endcap Right,18,36,
19,Platform,Rich Mahogany Endcap Left,36,36,
19,Platform,Rich Mahogany Attach Left,54,36,
19,Platform,Rich Mahogany Attach Right,72,36,
19,Platform,Rich Mahogany Single,90,36,
19,Platform,Rich Mahogany Attach Left Endcap,108,36,
19,Platform,Rich Mahogany Attach Right Endcap,126,36,
19,Stair,Rich Mahogany Up-Right Riser,144,36,
19,Stair,Rich Mahogany Up-Right Stringer,162,36,
19,Stair,Rich Mahogany Up-Left Riser,180,36,
19,Stair,Rich Mahogany Up-Left Stringer,198,36,
19,Stair,Rich Mahogany Top Landing R,216,36,
19,Stair,Rich Mahogany Top Landing L,234,36,
19,Stair,Rich Mahogany Top Landing L-R,252,36,
19,Stair,Rich Mahogany Top Landing R Endcap,270,36,
19,Stair,Rich Mahogany Top Landing L Endcap,288,36,
19,Stair,Rich Mahogany Bottom Landing R,306,36,
19,Stair,Rich Mahogany Bottom Landing L,324,36,
19,Stair,Rich Mahogany Inset Up-Right 1,342,36,
19,Stair,Rich Mahogany Inset Up-Left 1,360,36,
19,Stair,Rich Mahogany Inset Up-Right 2,378,36,
19,Stair,Rich Mahogany Inset Up-Left 2,396,36,
19,Stair,Rich Mahogany Inset Up-Right 3,414,36,
19,Stair,Rich Mahogany Inset Up-Left 3,432,36,
19,Stair,Rich Mahogany Inverted Right,450,36,
19,Stair,Rich Mahogany Inverted Left,468,36,
19,Platform,Pearlwood Flat,,54,
19,Platform,Pearlwood Endcap Right,18,54,
19,Platform,Pearlwood Endcap Left,36,54,
19,Platform,Pearlwood Attach Left,54,54,
19,Platform,Pearlwood Attach Right,72,54,
19,Platform,Pearlwood Single,90,54,
19,Platform,Pearlwood Attach Left Endcap,108,54,
19,Platform,Pearlwood Attach Right Endcap,126,54,
19,Stair,Pearlwood Up-Right Riser,144,54,
19,Stair,Pearlwood Up-Right Stringer,162,54,
19,Stair,Pearlwood Up-Left Riser,180,54,
19,Stair,Pearlwood Up-Left Stringer,198,54,
19,Stair,Pearlwood Top Landing R,216,54,
19,Stair,Pearlwood Top Landing L,234,54,
19,Stair,Pearlwood Top Landing L-R,252,54,
19,Stair,Pearlwood Top Landing R Endcap,270,54,
19,Stair,Pearlwood Top Landing L Endcap,288,54,
19,Stair,Pearlwood Bottom Landing R,306,54,
19,Stair,Pearlwood Bottom Landing L,324,54,
19,Stair,Pearlwood Inset Up-Right 1,342,54,
19,Stair,Pearlwood Inset Up-Left 1,360,54,
19,Stair,Pearlwood Inset Up-Right 2,378,54,
19,Stair,Pearlwood Inset Up-Left 2,396,54,
19,Stair,Pearlwood Inset Up-Right 3,414,54,
19,Stair,Pearlwood Inset Up-Left 3,432,54,
19,Stair,Pearlwood Inverted Right,450,54,
19,Stair,Pearlwood Inverted Left,468,54,
19,Platform,Bone Flat,,72,
19,Platform,Bone Endcap Right,18,72,
19,Platform,Bone Endcap Left,36,72,
19,Platform,Bone Attach Left,54,72,
19,Platform,Bone Attach Right,72,72,
19,Platform,Bone Single,90,72,
19,Platform,Bone Attach Left Endcap,108,72,
19,Platform,Bone Attach Right Endcap,126,72,
19,Stair,Bone Up-Right Riser,144,72,
19,Stair,Bone Up-Right Stringer,162,72,
19,Stair,Bone Up-Left Riser,180,72,
19,Stair,Bone Up-Left Stringer,198,72,
19,Stair,Bone Top Landing R,216,72,
19,Stair,Bone Top Landing L,234,72,
19,Stair,Bone Top Landing L-R,252,72,
19,Stair,Bone Top Landing R Endcap,270,72,
19,Stair,Bone Top Landing L Endcap,288,72,
19,Stair,Bone Bottom Landing R,306,72,
19,Stair,Bone Bottom Landing L,324,72,
19,Stair,Bone Inset Up-Right 1,342,72,
19,Stair,Bone Inset Up-Left 1,360,72,
19,Stair,Bone Inset Up-Right 2,378,72,
19,Stair,Bone Inset Up-Left 2,396,72,
19,Stair,Bone Inset Up-Right 3,414,72,
19,Stair,Bone Inset Up-Left 3,432,72,
19,Stair,Bone Inverted Right,450,72,
19,Stair,Bone Inverted Left,468,72,
19,Platform,Shadewood Flat,,90,
19,Platform,Shadewood Endcap Right,18,90,
19,Platform,Shadewood Endcap Left,36,90,
19,Platform,Shadewood Attach Left,54,90,
19,Platform,Shadewood Attach Right,72,90,
19,Platform,Shadewood Single,90,90,
19,Platform,Shadewood Attach Left Endcap,108,90,
19,Platform,Shadewood Attach Right Endcap,126,90,
19,Stair,Shadewood Up-Right Riser,144,90,
19,Stair,Shadewood Up-Right Stringer,162,90,
19,Stair,Shadewood Up-Left Riser,180,90,
19,Stair,Shadewood Up-Left Stringer,198,90,
19,Stair,Shadewood Top Landing R,216,90,
19,Stair,Shadewood Top Landing L,234,90,
19,Stair,Shadewood Top Landing L-R,252,90,
19,Stair,Shadewood Top Landing R Endcap,270,90,
19,Stair,Shadewood Top Landing L Endcap,288,90,
19,Stair,Shadewood Bottom Landing R,306,90,
19,Stair,Shadewood Bottom Landing L,324,90,
19,Stair,Shadewood Inset Up-Right 1,342,90,
19,Stair,Shadewood Inset Up-Left 1,360,90,
19,Stair,Shadewood Inset Up-Right 2,378,90,
19,Stair,Shadewood Inset Up-Left 2,396,90,
19,Stair,Shadewood Inset Up-Right 3,414,90,
19,Stair,Shadewood Inset Up-Left 3,432,90,
19,Stair,Shadewood Inverted Right,450,90,
19,Stair,Shadewood Inverted Left,468,90,
19,Platform,Blue Brick Flat,,108,
19,Platform,Blue Brick Endcap Right,18,108,
19,Platform,Blue Brick Endcap Left,36,108,
19,Platform,Blue Brick Attach Left,54,108,
19,Platform,Blue Brick Attach Right,72,108,
19,Platform,Blue Brick Single,90,108,
19,Platform,Blue Brick Attach Left Endcap,108,108,
19,Platform,Blue Brick Attach Right Endcap,126,108,
19,Stair,Blue Brick Up-Right Riser,144,108,
19,Stair,Blue Brick Up-Right Stringer,162,108,
19,Stair,Blue Brick Up-Left Riser,180,108,
19,Stair,Blue Brick Up-Left Stringer,198,108,
19,Stair,Blue Brick Top Landing R,216,108,
19,Stair,Blue Brick Top Landing L,234,108,
19,Stair,Blue Brick Top Landing L-R,252,108,
